area,rooms,floor,year_of_construction,price
93,5,3,1958,339353
50,2,6,2006,846495
82,1,6,1954,321254
68,2,7,1964,420877
65,4,4,1957,227763
61,1,2,2016,718532
110,4,2,2020,652365
101,3,10,2022,581682
84,2,4,1992,915849
64,1,9,1974,388968
78,2,5,1981,804290
97,3,7,1989,695059
97,5,3,2009,583472
89,1,1,1971,206546
94,2,3,1957,317273
111,4,4,1977,210950
64,4,9,2010,410513
52,1,2,1963,971180
92,2,5,1987,711215
56,4,6,1975,699787
81,3,1,1960,557489
84,2,4,1974,160845
51,2,6,2003,822313
100,1,7,1997,837131
76,3,7,1958,829019
87,1,1,1979,879091
90,4,7,2017,958993
88,1,4,1980,815295
54,1,8,1972,778324
90,3,2,1951,970780
54,1,5,1992,927055
50,5,1,1953,906832
95,5,5,1989,603064
83,1,7,1950,202338
113,5,10,2020,261145
65,4,2,2008,922610
111,2,3,2015,993622
63,1,5,1952,455928
103,4,9,2014,830985
60,3,6,1994,161557
71,5,2,1981,671863
109,2,7,1976,927569
54,1,3,2020,702164
82,5,4,1984,667960
100,2,4,1959,459355
83,1,9,1955,297436
106,2,2,1980,402393
94,2,3,1962,591030
54,1,2,1969,811858
103,3,10,1991,590018
72,3,6,1955,302145
115,5,6,1966,367254
63,5,5,1997,272302
102,2,2,1955,721994
62,2,7,2013,775423
92,2,1,1960,700434
95,4,3,2018,735561
111,5,6,1971,664417
114,2,10,1996,297268
53,5,3,1953,595130
93,2,4,1990,183278
64,3,6,1986,347473
87,2,4,1986,387852
111,1,8,2018,502454
76,3,1,1997,393350
111,5,7,1958,635247
109,5,4,2007,466362
116,1,1,1985,263037
80,5,7,2015,260840
71,1,5,2021,333616
89,1,7,2009,517891
111,3,7,1996,452106
55,1,3,1969,336172
100,2,4,1979,533411
117,4,7,1974,628969
107,4,8,1955,803464
91,4,7,2002,369660
51,3,8,2003,191277
95,1,10,1955,318784
63,5,4,1969,457661
67,2,1,2001,710755
76,2,8,2002,906069
67,4,4,2007,687677
60,4,1,1991,970247
114,3,3,2002,531502
109,5,7,2019,240402
103,4,8,1974,188245
84,5,6,1982,990688
59,3,7,1997,603148
109,4,2,1974,656129
65,4,9,1989,331681
86,4,3,2020,252044
70,3,2,1954,925344
83,1,10,2014,185434
76,2,4,2013,616493
85,2,2,1963,775438
81,5,6,2012,288255
92,2,1,2016,384534
82,4,5,2007,565315
92,3,1,1956,387387
75,5,9,1976,493734
80,5,8,1994,217317
53,5,7,1979,889706
109,4,3,1997,214820
57,3,7,1981,543473
67,1,3,2016,678634
77,2,5,2018,796329
99,3,8,2015,805756
114,4,1,1959,362401
70,5,1,2018,966135
88,2,9,1994,380351
117,1,8,1951,983307
71,4,8,2013,575715
114,3,4,1973,489657
54,4,3,1960,324574
109,2,8,1977,352346
119,1,7,2012,684091
85,4,7,1952,460734
57,3,1,2009,519828
56,5,4,1950,471725
88,1,9,2003,182546
108,4,6,1953,230320
76,3,4,2013,307864
73,4,9,1977,543481
71,4,1,1999,931149
62,3,3,1991,543844
112,2,6,2020,980066
85,1,2,1988,205870
115,3,4,1971,875586
116,4,10,1971,697406
102,3,3,1966,894257
84,2,2,1985,931568
114,5,10,1972,337885
105,5,8,2008,230326
83,2,8,1993,474293
65,5,9,1982,458923
105,2,4,1985,909091
90,5,8,1999,374305
113,3,5,1978,801307
102,5,3,1954,484364
118,1,3,2001,242873
69,1,9,1985,894213
83,3,2,1984,484559
63,4,8,2012,152058
66,5,4,1963,606709
57,2,10,1973,665707
111,3,1,2021,451219
98,2,2,1997,940360
78,2,10,2017,643611
89,2,7,2004,722223
86,4,4,1993,798738
116,1,5,2022,289079
75,5,1,1975,357419
61,4,5,1983,641288
84,3,3,1962,585028
55,3,1,2001,456239
68,4,5,1964,516038
79,3,5,1956,821889
115,1,3,2002,253181
71,2,6,1966,789127
78,1,5,1951,765559
107,1,8,1993,801976
88,1,10,1986,913509
86,5,1,2004,555534
71,2,9,1958,355146
61,1,9,2006,522536
69,2,2,1965,975197
112,4,10,1979,181171
112,2,6,2001,284044
70,4,4,1979,731782
101,1,7,1977,634936
83,1,4,1981,829363
114,5,9,2010,749069
90,2,8,1996,783835
106,3,8,1994,646637
97,3,6,2014,444334
81,4,5,1996,763589
93,3,8,1951,641414
51,5,2,2012,487298
77,3,1,1966,962104
69,1,4,1952,281099
68,5,9,2015,488747
119,3,2,1975,650010
79,1,2,1995,953339
81,1,5,1974,626621
117,1,2,2006,999532
65,4,9,1961,389882
56,3,7,1994,188121
77,3,2,1992,352605
55,4,1,2014,400209
71,4,7,1958,706203
68,2,10,2010,367945
86,3,7,1986,918900
120,3,1,1952,731311
62,1,2,1954,223545
87,5,9,1997,557596
86,2,2,2016,891664
103,2,8,1953,693786
68,4,8,1972,822707
99,2,3,1973,560028
120,3,8,1961,475269
101,3,10,1954,419664
63,3,6,2013,763669
89,5,2,2014,300305
110,3,5,1981,349266
89,1,7,1950,454980
69,1,10,2000,534269
61,5,8,1989,723805
113,1,2,2020,355983
113,5,10,1975,593451
63,5,6,1988,257744
55,3,6,2006,258025
55,5,10,2003,974011
58,3,3,1979,806373
85,3,8,2000,253028
87,5,1,1985,676597
106,3,6,1985,413872
103,1,5,1972,247518
116,5,7,1994,791298
99,5,4,2009,513109
95,3,4,1979,167085
73,3,6,1982,769250
68,2,3,1985,406805
58,5,10,2016,928216
65,3,1,1975,267563
68,1,2,1957,819536
112,5,10,1951,672706
90,3,5,2002,455650
118,3,6,1959,972969
88,5,8,1983,698199
76,2,4,2011,365305
61,3,4,2007,366694
83,1,3,2015,850839
86,2,6,2010,816867
60,5,7,1953,304301
72,4,5,1980,538660
82,3,7,1992,228536
75,1,9,2005,650168
77,3,10,1982,789875
56,1,9,2010,743681
78,3,7,1994,480179
98,2,10,1995,655797
99,1,3,2018,190509
110,1,1,1991,579456
69,2,3,2021,902700
79,3,3,1983,554735
104,3,10,1992,171654
53,2,2,1950,218162
68,5,8,2004,848902
76,4,4,2006,828905
76,5,3,2005,615371
75,5,2,2010,687336
92,5,1,1982,597929
98,3,9,1987,933496
118,1,2,1961,162368
95,4,8,1970,418400
117,4,10,1981,220780
86,4,9,1982,881057
120,5,6,1977,892412
81,3,10,2000,256251
70,3,8,2014,686710
109,4,6,1970,852335
91,5,7,2017,695036
83,5,10,1955,953441
78,5,3,1960,661666
70,5,5,2020,503091
108,3,3,1971,238967
97,3,3,1967,458371
72,4,6,2006,334968
111,2,6,1955,868968
105,4,4,2000,853736
56,4,9,1972,318328
116,2,9,1994,431201
83,3,1,1951,632980
86,5,7,1957,244345
80,1,2,1998,881503
62,1,8,2003,893234
86,5,5,1955,863578
100,1,7,2003,629632
79,5,10,1977,398591
89,2,2,2005,564040
81,1,3,1999,209501
59,1,9,2017,708254
113,1,5,1973,851607
69,5,6,1970,590084
57,5,7,1959,402527
86,5,6,1953,451682
54,1,1,1964,965843
94,1,9,1994,396836
71,4,9,1996,563281
115,1,4,1982,873127
114,4,2,2010,780779
55,2,5,2022,840757
74,1,10,2010,522968
110,3,10,1960,966498
83,4,10,1990,395076
117,5,8,2008,558840
90,3,6,2004,862378
85,4,1,2020,157855
70,1,9,2019,975637
85,4,4,2010,535753
90,3,3,1966,935651
53,1,8,1971,225490
99,2,6,1961,867569
60,1,4,1960,773024
65,2,2,1960,473488
74,1,5,1995,748440
57,4,4,2003,720835
71,5,9,1997,860099
115,1,6,1978,495871
106,3,1,1972,315178
98,5,5,1951,264765
74,4,3,1974,502652
105,4,1,1987,992666
105,4,2,1951,358127
103,5,10,1967,504541
64,2,4,1983,388291
96,5,8,1987,603766
92,4,1,2006,512741
74,3,8,1998,466824
108,3,2,1957,377462
72,2,6,1969,460693
99,2,1,2000,251143
84,5,2,2020,617881
73,2,6,2007,439944
79,2,2,1957,892332
114,1,2,1986,674042
68,3,2,2009,792066
59,3,9,1988,263067
109,3,10,1999,694687
88,4,7,1997,513357
105,2,10,2000,256868
96,2,8,1988,261391
116,5,8,1988,574253
119,1,7,2014,500324
98,3,7,1966,760578
53,3,5,1960,517141
56,3,6,1960,957277
118,5,2,1986,353300
70,4,9,1989,451250
77,4,9,1991,361313
87,3,1,1953,888928
92,5,7,1981,273290
50,5,10,2006,785312
118,3,4,1975,219057
98,2,3,2011,461043
57,5,2,2015,526856
101,3,7,1962,172755
79,1,2,1971,583419
97,3,6,1994,254567
92,4,1,1995,802049
57,5,8,1990,612716
82,3,1,1968,287770
66,3,8,2013,204192
112,4,4,1976,822631
111,2,8,1969,571005
55,3,7,1974,780496
96,5,1,1957,175985
76,2,10,1950,468233
108,1,10,1990,215105
113,1,4,1974,707866
95,4,2,1983,804240
52,5,9,1951,922074
104,5,1,2000,341240
102,2,9,1964,612201
119,3,9,1987,791956
82,5,6,1974,683110
93,3,1,1963,439933
68,3,7,1954,768106
73,5,8,1999,848282
76,4,4,1993,201421
54,2,3,1974,370944
82,5,2,1993,654494
82,4,3,1953,274462
73,5,6,2010,300513
114,2,2,2012,518958
111,2,10,1983,448879
99,2,1,1961,720350
67,5,3,1984,700353
60,4,7,2009,355968
93,1,1,1979,426499
74,5,7,2001,815716
117,1,4,1980,216063
113,4,5,2001,977760
118,4,9,1988,395431
93,5,2,1951,239386
65,4,7,2015,484713
58,2,5,1962,684814
60,4,9,2019,634252
83,3,8,1986,963500
66,3,10,1981,563369
60,3,9,1953,390101
91,2,8,2016,869784
82,5,8,1973,341576
108,4,8,2015,980596
117,2,9,2005,450237
101,5,10,1994,928016
74,4,2,1996,682800
98,4,1,1961,719080
98,1,4,2013,228300
98,4,6,2011,767240
114,1,2,1990,855687
90,3,8,1991,489650
114,1,8,1973,628520
80,2,4,2005,159760
69,2,2,1964,350082
98,1,7,1970,764010
102,3,1,1985,205556
96,4,7,1967,578884
56,1,10,2014,911779
66,2,5,2015,641146
87,3,6,1983,571524
69,5,6,2022,664480
112,1,8,2000,656249
68,2,7,2022,500872
84,3,1,2004,238458
51,4,4,1950,843498
92,1,4,1952,339979
52,3,2,2009,167312
116,2,3,2000,322752
108,5,6,1987,509981
75,3,10,1982,320411
76,2,8,1965,527997
115,3,9,2019,298009
57,1,5,2017,230775
64,3,1,1955,994662
66,4,9,1969,702968
89,5,2,1993,527791
92,4,1,1995,592247
66,5,8,1979,649564
70,5,6,1951,668985
79,4,5,2013,994334
71,3,4,1972,751616
112,5,8,2021,584583
92,4,3,1986,832595
115,3,4,1963,623946
55,5,3,1996,467731
60,4,10,1982,990022
57,2,10,2021,336079
61,3,7,2001,343154
95,4,6,1997,974271
53,1,4,1965,554297
78,2,10,1984,915381
100,4,2,1995,256762
96,5,8,1961,770184
73,4,4,2000,756403
52,2,6,1987,686966
65,3,7,2007,362707
75,2,7,2022,262520
102,5,5,1988,345012
68,2,8,1956,889246
120,5,7,1954,833098
52,2,4,1953,299653
79,2,2,1985,311734
78,3,5,1955,839806
112,5,8,1969,854416
100,4,3,1957,388583
76,3,4,1967,188687
56,4,10,1983,341014
118,3,1,1974,968305
100,2,10,1992,319104
66,5,4,1980,219825
72,1,1,1988,486991
106,5,6,2015,322283
78,3,8,1950,402543
68,2,5,2000,485955
92,5,1,1980,437824
114,5,3,1976,266503
78,2,10,2015,558117
119,1,2,1996,294983
88,2,4,1990,191234
88,1,1,2007,702905
120,1,2,1960,752929
99,5,8,1959,386872
113,3,2,1990,281785
115,1,5,2017,336984
97,4,4,1980,627301
93,4,6,2003,745158
112,4,5,1963,536367
77,3,9,2001,619924
93,5,8,1994,160540
79,3,1,1960,496133
98,1,6,1961,746440
112,1,10,2002,161427
109,3,9,2014,886220
114,4,2,1989,996330
58,1,2,1991,603017
96,5,8,1992,758694
84,1,9,2020,565896
90,2,1,1964,817871
70,1,5,1992,372024
81,3,10,1975,987545
88,3,7,1968,471477
100,2,6,1978,308225
92,1,1,1983,408057
95,4,8,1983,349131
72,4,3,2003,302588
55,5,5,1960,204210
56,3,1,1987,462584
56,2,9,1988,349258
90,4,1,1953,202200
55,2,9,2015,641984
119,5,2,1985,713316
119,4,3,1986,568612
105,4,3,1953,719901
66,5,4,1979,752395
110,3,8,1979,365380
51,5,4,2019,578755
90,3,8,2000,179047
103,1,7,2022,222970
94,2,4,2011,675295
99,2,9,2016,402725
101,2,6,1984,350820
103,1,3,2010,487748
53,2,8,2015,831271
109,2,9,1958,530601
76,5,3,2002,900381
97,3,10,1971,674357
96,5,6,1957,349688
75,4,1,2022,918922
96,4,3,2006,674115
96,4,3,2007,959120
90,3,6,1994,152846
83,3,2,1982,550368
85,1,5,1984,586929
97,2,10,2012,259830
96,3,9,2020,397677
76,1,5,1996,549133
88,4,6,2007,256568
54,4,6,1967,718357
62,3,7,1952,176042
65,5,7,1950,855279
98,2,6,1962,603065
69,2,4,2003,920659
62,2,2,2007,201456
89,2,7,2003,560258
114,4,4,1974,374088
62,5,10,1994,355596
94,3,5,2012,867697
100,1,2,1978,903133
113,5,7,2021,797333
89,5,6,1975,759562
63,2,2,1984,780273
78,5,5,1980,451068
88,5,4,1952,774239
111,3,7,1977,175874
105,2,8,2020,396868
77,2,4,1959,968933
105,2,6,2011,573223
67,2,7,2006,721622
112,4,6,2022,703292
116,4,9,1961,316358
103,2,1,1982,215007
118,3,4,1993,275405
66,5,4,2021,815285
120,2,9,1957,466796
50,1,10,1950,393185
111,2,10,1978,285876
101,2,9,1952,621012
88,4,9,2010,900468
96,4,1,1977,803239
93,2,8,2013,655210
53,5,10,1956,381699
101,3,8,2000,220634
63,2,2,1974,381913
120,1,10,1997,309495
98,2,7,2019,362424
93,5,2,2015,249762
80,3,4,2002,219987
85,4,2,1993,711526
86,4,10,1953,960954
57,1,3,1990,537826
102,3,3,1991,974627
57,3,9,1955,991350
77,4,6,1965,538427
111,5,2,1989,156094
63,4,3,1982,629870
53,5,8,1987,399766
55,2,4,2014,395143
98,2,8,2021,764346
111,2,9,2004,917250
74,3,1,1970,626227
81,5,3,1971,839380
61,4,4,1952,165450
108,4,3,1958,301023
117,2,4,1963,290459
68,2,5,1950,735608
80,3,4,2010,373812
108,5,5,1966,572613
102,1,8,1962,357426
91,5,10,1962,471240
95,5,8,1974,186014
92,1,3,2022,368374
70,2,5,2018,808270
53,3,2,1985,651406
72,1,9,2005,919936
59,4,1,2006,516251
105,2,7,1974,931563
58,3,8,2015,974894
60,3,1,2008,524292
108,1,9,2006,271940
50,2,6,1992,545551
70,3,7,1957,743873
112,5,6,1996,338831
56,1,2,1989,577152
89,2,4,2014,489007
85,2,10,1985,398552
120,3,9,1966,420304
110,2,6,1955,285325
113,1,8,1955,324995
71,5,1,2020,443924
91,1,7,2021,352576
120,4,7,1999,543315
115,2,3,1984,593218
73,5,8,2009,492028
73,2,3,1990,669738
56,5,8,2017,787930
101,4,8,2000,973652
71,2,4,1992,650114
51,5,1,1983,380543
53,4,5,1972,195317
72,4,6,1979,359882
79,2,2,1965,762881
76,5,6,1996,984497
92,5,6,1950,658627
54,3,8,2008,233763
97,3,1,2011,893164
58,1,5,2015,814892
95,5,3,1980,414441
104,4,3,1950,873191
96,3,8,2010,345791
76,5,9,1978,791356
117,5,7,2008,447925
107,3,5,2001,787863
110,3,3,2020,293563
55,2,4,1994,416883
101,2,1,1976,311139
104,4,3,1962,170386
86,4,8,1983,399221
69,4,3,2020,395844
62,4,10,1969,653994
93,1,3,2003,724203
110,3,10,1997,663228
55,5,9,1960,630490
80,4,3,2005,158888
71,3,10,2002,324679
61,5,9,2016,583780
60,5,6,1975,959740
90,5,10,1988,844060
97,4,8,2007,417627
70,5,7,1970,265227
57,5,7,1975,170424
106,3,7,1952,921719
79,5,2,2005,629254
114,3,3,2020,279255
70,5,10,1980,707962
71,2,1,1990,934578
94,4,2,1970,514372
52,5,9,1989,827899
88,3,4,1979,948482
51,4,4,1960,758913
56,3,8,2000,384393
108,5,5,1981,345224
114,3,7,1999,505032
115,4,9,2002,187708
82,4,9,1975,392151
118,2,10,2005,604650
64,3,2,1964,452168
64,5,5,2009,195376
54,4,4,1998,969724
59,2,3,1983,585720
107,1,6,1979,260250
59,5,3,2014,725712
120,2,5,2022,968779
110,5,6,1984,497250
71,1,7,2007,798850
86,3,7,1979,968205
92,5,7,1976,242497
83,5,2,1965,676993
95,1,6,1973,431343
104,3,7,2015,983755
93,2,6,1994,546769
54,2,3,1993,713973
104,1,10,1969,867976
101,2,7,1962,279146
116,2,10,1954,325443
99,4,1,1957,560858
91,3,3,1952,921884
108,1,2,1968,495407
83,2,9,1987,941098
66,4,4,2011,161676
103,1,5,2006,544458
92,3,5,2020,175381
90,2,1,1970,959997
102,5,1,2000,479347
58,3,4,1971,674931
88,1,5,1953,656527
100,1,3,2010,697817
96,5,9,2016,389922
102,2,5,1970,288755
92,4,1,1980,191841
54,3,9,1974,597631
99,3,6,1975,646009
71,2,8,1998,619521
61,4,10,2020,834510
115,4,1,1969,166268
92,3,2,2001,723744
120,4,4,2017,644572
109,4,4,1976,157341
87,3,6,1972,975269
84,2,1,2009,295764
80,1,1,1967,419332
117,2,4,1960,449826
103,4,3,1970,260934
50,2,8,2013,984927
98,2,6,2013,236959
93,2,9,2019,716508
111,4,5,1988,499224
120,4,8,1958,895886
61,1,6,2016,370608
97,3,2,2019,309750
88,4,5,1957,620273
59,4,8,2001,310826
96,4,2,2013,510283
69,1,7,2007,198955
53,2,1,1981,973802
97,1,10,2006,551841
85,2,6,1992,625527
63,4,9,1950,973515
104,5,5,1964,968394
69,1,6,1951,391046
52,1,9,2022,890988
56,2,5,2000,514185
91,3,5,2004,412143
60,4,2,2002,390192
108,4,7,2004,475098
67,5,3,1989,458429
60,1,5,1976,568703
73,3,6,1980,275028
90,3,6,2016,985218
90,4,7,1961,230828
54,3,10,1976,372442
74,4,10,1998,444917
51,2,3,1952,781498
60,5,4,1988,656124
93,2,5,2010,775451
60,5,5,1972,625804
63,5,9,2002,984561
51,1,7,1990,408355
51,3,9,2012,792004
92,2,9,1977,596820
92,3,1,2021,441390
117,2,10,1998,242362
61,1,9,1977,352843
115,4,9,2000,666912
52,3,2,1978,418030
63,4,9,1967,692353
92,1,1,1967,344487
99,4,1,1974,440260
117,1,7,1974,617653
55,4,3,1995,996880
74,4,1,1970,998877
89,3,8,1989,302175
52,5,2,1983,550078
50,5,7,1992,434937
50,2,7,1996,162413
85,5,6,2012,757956
100,4,7,1960,696615
69,2,6,2010,376130
73,3,7,1967,902104
67,1,8,1996,700064
99,2,2,1992,305958
106,5,2,1995,394749
120,4,5,1984,705048
78,4,3,2000,441960
108,2,1,1976,553546
74,5,7,1959,969617
50,3,8,1950,469679
67,5,4,2010,712130
99,3,8,2011,719761
79,3,1,2021,700583
59,1,2,1960,310758
104,3,10,1958,981933
57,5,9,2008,767581
116,1,3,1986,720458
53,2,4,2020,803002
84,3,8,2008,482877
95,3,6,1962,445269
61,4,1,1994,861194
95,2,4,2020,426705
72,2,7,1988,746682
110,3,2,2003,705121
65,4,6,1993,266207
67,3,7,2021,871546
65,4,7,1975,459152
50,4,3,1961,948306
111,3,5,1987,965884
118,5,1,1960,437717
86,1,5,1972,315197
108,3,4,2021,936699
78,1,10,1975,675935
104,4,7,1992,188024
81,1,5,2016,270038
118,5,5,1981,480696
69,1,2,1973,619180
53,4,1,2021,352830
112,3,7,1954,551985
97,5,7,1969,635166
86,4,10,2014,330204
103,4,5,2002,887207
59,1,6,1972,437405
66,5,3,1957,749872
90,5,7,2011,471815
81,5,3,2009,249921
73,4,6,2004,494790
116,5,3,1955,204944
120,2,6,1987,576303
59,5,1,1961,525985
77,5,10,2017,481919
103,4,5,1999,974379
108,1,8,1978,914633
102,2,10,1999,350960
56,2,4,1957,189035
90,3,3,2002,859375
52,1,3,1975,875339
60,1,2,2007,335482
67,4,2,2002,175823
108,5,4,2005,526498
80,3,10,2011,674762
79,4,9,1992,667668
114,1,3,2018,797234
57,2,3,1988,596921
90,2,8,2008,896230
65,4,9,1964,522938
80,1,8,2002,230117
85,3,3,1952,325392
114,4,2,1987,203774
56,1,4,1979,672680
97,5,3,1988,540569
89,1,9,2011,344060
88,3,3,2009,492954
118,2,2,2007,891823
91,3,1,1972,859395
74,5,10,1987,223385
101,4,9,2022,893779
105,3,6,2012,773540
90,3,8,1960,777282
52,3,3,2010,640097
113,1,6,1958,707848
108,2,9,2009,842268
111,1,2,2004,371696
82,1,4,2012,623233
62,1,9,2018,466335
94,3,1,2011,615346
99,2,5,1971,998223
98,1,1,2008,832496
78,1,2,1986,568383
109,4,5,1994,198600
87,1,6,1990,641593
92,2,9,1978,586647
112,2,9,1993,322056
94,5,8,1953,412558
116,4,7,1992,196879
57,4,4,1965,461864
76,5,4,1980,298575
51,3,6,1990,547713
96,1,3,1973,473273
74,4,8,2013,856697
62,2,2,1968,417470
87,3,8,1981,982875
66,1,1,2020,278416
108,1,9,1993,464414
91,5,1,2011,755373
105,2,3,1983,939588
51,1,4,1967,720620
76,4,7,1961,521000
91,3,8,2015,882772
50,4,6,1951,606535
83,4,3,2012,395811
77,2,6,1971,793082
80,1,3,1973,551084
107,4,1,1977,876795
71,4,9,2018,296892
119,3,7,1971,490968
90,5,10,1964,339702
77,2,8,1988,805072
97,5,6,2019,864457
57,2,6,1960,936863
83,5,9,1961,807707
108,1,5,2016,485379
109,4,8,1991,473060
99,5,5,1991,534517
82,4,5,2002,625077
61,4,2,1991,885452
100,1,5,1975,559815
109,4,6,2012,989238
67,4,2,1969,199775
108,5,8,1994,375916
80,3,2,2016,697891
110,5,8,1999,824607
60,2,1,1956,187673
84,2,5,1958,506800
78,1,4,1972,818784
86,2,1,1955,749811
101,4,10,1983,251553
100,5,4,1975,966623
109,5,6,2018,920100
90,4,9,2008,559291
106,2,5,2007,857257
114,3,1,1983,373429
62,5,6,1995,760288
60,4,3,1981,854464
52,2,3,2015,161327
108,5,7,2000,575566
51,5,1,1969,999192
120,5,9,2011,244550
72,2,8,1990,965052
90,3,7,1968,638813
112,4,2,2003,453528
80,5,5,2021,169615
93,5,9,2022,368689
120,5,1,2011,323352
77,5,5,2000,828749
59,1,3,2009,999644
78,1,7,2022,172222
71,2,10,1952,515966
76,3,5,2013,900686
86,5,10,1961,351843
109,5,2,1978,701191
81,4,8,2006,807918
110,5,5,2021,729650
97,2,4,1968,487711
66,3,4,2019,574346
64,2,6,1998,764237
68,3,1,2007,498444
68,4,9,1952,580043
106,1,6,1972,477815
115,2,6,2007,990950
65,2,5,1970,904188
94,3,10,1975,507587
77,4,7,1997,636134
79,2,1,1977,634732
72,1,7,2006,158508
112,1,5,2003,225803
96,2,4,1972,352642
117,5,2,1959,189301
87,1,5,1969,969989
120,4,7,1958,872503
63,4,1,2008,877150
75,4,5,1951,881770
70,4,7,1996,886453
104,1,7,1956,479065
80,5,8,1976,941492
73,5,1,1986,506697
74,5,8,1964,603136
83,3,9,1970,897107
52,4,8,1973,592336
80,2,3,1962,754147
58,1,6,1995,197022
83,2,9,1959,821894
103,1,2,1966,961370
106,1,5,1957,266444
85,1,4,1987,810620
54,1,10,1977,192165
94,5,5,1999,993676
80,4,8,2020,231958
61,1,1,1964,177142
52,2,5,1976,906467
99,4,2,1966,350820
61,5,9,2002,706849
119,4,6,1975,980326
63,4,10,1965,934068
112,1,1,1969,341153
89,2,10,1966,709118
96,5,4,2022,643813
51,5,2,1978,982674
88,4,6,1959,171627
79,2,5,1953,806221
120,2,6,1962,177185
79,2,8,1975,311049
86,4,9,1975,868561
117,4,5,1970,448517
68,2,3,2021,242134
110,5,4,1987,529256
53,2,2,2021,874026
63,1,3,1985,946360
69,2,1,1965,740883
54,1,1,1973,497881
69,2,3,1984,817253
101,5,9,1968,269787
53,3,5,1961,869238
72,4,9,1962,948517
96,3,2,1956,392564
107,3,5,1959,250040
120,5,4,1987,989803
80,5,2,2019,248233
54,3,4,1998,751720
82,4,2,2020,341552
115,2,3,1993,763804
109,1,1,2016,267426
86,5,8,2001,774012
83,1,2,1975,871658
106,5,1,1967,710325
79,3,4,1962,362553
100,2,4,1972,686819
55,5,9,1959,566138
52,2,5,1988,459121
74,4,7,2012,220835
116,3,4,1956,851179
93,5,7,2008,483991
99,3,4,1990,675105
55,2,9,2011,734188
70,2,8,1998,566758
63,4,3,1992,721198
65,5,7,1969,246673
80,3,3,2007,961293
61,1,4,1982,244329
112,3,6,2003,241809
67,5,8,2002,694733
82,3,4,1967,754950
117,2,6,1999,330166
74,1,2,1967,631931
119,2,8,1970,378311
104,1,5,1961,533827
58,1,5,2015,283412
83,1,9,2016,859285
80,2,6,2020,461241
116,5,2,2019,683285
98,2,6,1992,439068
60,4,7,1982,513690
74,4,4,2010,775516
53,1,2,1981,492464
66,4,6,1989,272922
70,4,2,1976,601666
98,3,7,1999,366523
87,4,4,1964,302068
94,4,8,2017,704390
55,5,9,1972,343334
58,4,8,2016,241187
91,3,2,2014,444859
113,5,1,1995,874980
62,5,1,2016,277506
106,3,7,1984,197894
80,2,8,1960,649096
110,1,7,2016,307214
75,4,2,1991,922178
101,5,4,1969,160321
91,2,7,2016,587059
89,5,1,2003,741067
117,4,8,2021,302364
51,3,9,1952,949757
86,3,6,1986,181252
86,1,5,1983,218283
93,3,3,1991,288723
109,2,8,1987,255397
91,2,9,1966,915406
96,2,5,1961,363510
119,4,10,1956,849367
74,3,2,1965,475511
55,2,2,2021,981069
88,2,2,1951,196136
119,4,2,1995,911745
54,2,8,1955,155356
100,1,7,1952,615578
89,2,5,2014,881287
105,4,8,1958,381069
103,2,1,1977,522635
99,1,3,1976,688019
111,5,5,1952,266876
93,1,9,1977,425931
84,1,6,1986,927366
85,1,8,2016,643439
54,1,2,1991,967901
115,1,5,1971,262069
103,4,6,2003,385321
50,5,2,1996,829370
62,5,3,1956,490599
72,4,7,1994,224385
66,2,1,1990,158424
114,2,7,2007,365907
120,4,8,2000,157415
93,4,7,2006,339089
82,1,4,2003,675569
86,5,4,1992,228537
51,1,10,1989,510825
105,4,2,2000,204908
114,2,9,1987,840523
103,5,10,1980,710012
71,2,2,1963,275254
90,2,3,2004,271796
115,5,6,1973,444491
53,2,7,1992,902486
79,4,3,2004,833428
60,3,6,1959,629689
97,1,8,1989,195263
109,5,8,1998,476814
105,3,10,1980,808950
107,2,9,2015,155393
82,2,2,1958,926295
71,1,4,1974,317690
53,4,5,1968,752101
111,4,4,2020,870072
113,3,10,2021,239995
110,3,3,1985,286348
99,1,6,2008,480694
76,4,3,2019,550267
92,2,6,1959,368041
64,5,1,1991,862338
79,1,2,1979,234767
108,3,9,2019,438175
91,5,3,2020,372399
74,5,6,1974,717533
85,4,3,2014,391818
56,5,10,1951,795634
53,3,8,1956,855826
66,1,3,2000,373986
73,1,9,2006,621931
60,4,5,1963,530385
86,5,10,1990,301841
59,5,8,2007,912039
63,4,4,2000,619389
103,3,8,2020,154374
113,1,10,1978,250763
65,1,4,1982,299508
104,1,8,1971,568193
68,1,1,1985,162866
114,3,6,2021,513365
119,3,3,1959,422479
103,4,2,1952,640124
72,3,5,1995,999217
88,1,7,2016,798530
106,3,1,1980,303218
61,3,2,2011,984347
71,1,9,1987,521694
116,2,5,1958,906885
97,5,2,1962,391788
52,4,2,1988,217428
74,4,5,1988,772437
107,5,4,1969,810571
66,1,5,1951,887028
116,3,2,2001,696635
100,4,10,1954,548840
58,5,4,1969,860091
78,5,3,1963,788291
105,3,6,2007,373004
83,2,10,1972,481710
77,1,1,1959,594750
61,2,1,2010,183413
61,5,1,2022,524591
97,2,5,1992,802361
119,5,2,1994,540766
66,5,10,1953,513602
60,4,6,1975,289608
103,4,10,1954,983286
90,3,4,1964,809149
77,5,2,1972,929921
91,5,4,1986,448129
55,2,1,2021,207713
100,2,3,1990,345985
72,1,3,2014,725594
87,5,6,2019,454130
57,2,6,1996,188289
99,4,3,1961,430997
120,4,9,2014,655360
101,1,9,2021,820560
